Job Title,Salary,Company,Date,Location,Category
Харилцагчийн зөвлөх,"1,500,000 ₮",хувь хүн,2024-11-19,Хороо 24,"Эрүүл мэнд, эм зүй"
Захиалга бэлтгэлийн ажилтан,"10,200 ₮",Фрэш Пак ХХК,2024-11-19,Орос 3-р сургуулийн ойролцоо,Ажлын зар
Хотын төвд зөөгч,"1,300,000 ₮",хувь хүн,2024-11-19,Хороо 4,"Pесторан, кафе, паб"
Автомат аяга таваг угаагч машин дээр ажиллах угаагч,"1,600,000 ₮",хувь хүн,2024-11-19,Хороо 4,"Pесторан, кафе, паб"
Чанар шалгагч,"2,000,000 ₮",хувь хүн,2024-11-19,Хороо 23,Үйлдвэрлэл
Харуул,"90,000 ₮",хувь хүн,2024-11-19,19-р хороолол,Харуул хамгаалалт
Грашийн үйлчлэгч,"1,200,000 ₮",хувь хүн,2024-11-19,Нарны хороолол,Үйлчилгээ
Байрны үйлчлэгч,"1,200,000 ₮",хувь хүн,2024-11-19,Хороо 3,Үйлчилгээ
Махны үйлдвэрт ажилтан,"1,500,000 ₮",хувь хүн,2024-11-19,Сансар,Үйлдвэрлэл
Гал тогоонд угаагч,"1,400,000 ₮",United Resources LLC,2024-11-19,Зайсан,"Pесторан, кафе, паб"
Үйл ажиллагаа хариуцсан менежер,"3,000,000 ₮",хувь хүн,2024-11-19,Хороо 1,Ажлын зар
Поны жолооч,"1,650,000 ₮",хувь хүн,2024-11-19,19-р хороолол,"Тээвэр, гааль, агуулах"
Агуулахын туслах,"1,500,000 ₮",хувь хүн,2024-11-19,Мишээл,"Тээвэр, гааль, агуулах"
Бариач гоо сайхан ч,"4,000,000 ₮",хувь хүн,2024-11-19,Хороо 8,"Гоо сайхан, фитнес, спорт"
Машинист,"2,100,000 ₮",Эко Кластер ХХК,2024-11-19,5 шар,Үйлдвэрлэл
С ангилалтай усны машины жолооч,"2,400,000 ₮",хувь хүн,2024-11-19,Төв,"Тээвэр, гааль, агуулах"
Монгол-европ хоолны тогооч,"3,000,000 ₮",хувь хүн,2024-11-19,Хороо 5,"Pесторан, кафе, паб"
Худалдааны зөвлөх,"1,400,000 ₮",хувь хүн,2024-11-19,Баруун 4 зам,"Борлуулалт, худалдаа"
Үндсэн касс /түргэн хоолны сүлжээний/,"1,500,000 ₮",ЭМ БИ ФЭЙШН ХХК,2024-11-19,Баянмонгол хороолол,"Pесторан, кафе, паб"
Металл фасадны туслах,"3,000,000 ₮",Шилэн Оньс ХХК,2024-11-19,Зүүн салаа,"Барилга, дэд бүтэц"
Оффисын нярав,"1,400,000 ₮",хувь хүн,2024-11-19,10-р хороолол,"Банк, санхүү, нябо, нярав"
Улаанхуаранд байрлалтай зоогийн газарт бэлтгэгч,"60,000 ₮",хувь хүн,2024-11-19,Хороо 8,"Pесторан, кафе, паб"
Гэрээт харуул хамгаалалтын албанд хамгаалагч,"1,000,000 ₮",хувь хүн,2024-11-19,Хороо 9,Харуул хамгаалалт
Дамп оператори,"2,900,000 ₮",хувь хүн,2024-11-19,Хороо 15,Уул уурхай
Ресепшин,"4,000,000 ₮",хувь хүн,2024-11-19,4 хороолол,"Захиргаа, Хүний нөөц"
Орон сууцны үйлчлэгч,"1,500,000 ₮",хувь хүн,2024-11-19,Хороо 8,Үйлчилгээ
Харилцагч үйлчилгээний ажилтан,"2,500,000 ₮",хувь хүн,2024-11-19,Хороо 1,"Банк, санхүү, нябо, нярав"
Тавилга угсрагч,"2,500,000 ₮",хувь хүн,2024-11-19,Хороо 20,Үйлдвэрлэл
Тоног төхөөрөмжийн оператор,"1,600,000 ₮",Шилэн хийц ХХК,2024-11-19,Хороо 31,Уул уурхай
Үйлчлэгч,"1,500,000 ₮",Урбан Бизнес Групп ХХК,2024-11-19,4 хороолол,Үйлчилгээ
Шохойн үйлдвэрт ээлжийн лаборант,"2,000,000 ₮",хувь хүн,2024-11-19,Төв,Үйлдвэрлэл
Талбайн нярав,"2,500,000 ₮",хувь хүн,2024-11-19,Яармаг,"Банк, санхүү, нябо, нярав"
Харилцааны менежер,"3,000,000 ₮",хувь хүн,2024-11-19,Хороо 1,Ажлын зар
Түгээлтийн жолооч,"1,900,000 ₮",хувь хүн,2024-11-19,19-р хороолол,"Тээвэр, гааль, агуулах"
Кэмпийн туслах ажилтан,"2,400,000 ₮",Говийн Шилмэл Зам ХХК,2024-11-19,Дорноговь,Уул уурхай
Касс,"1,500,000 ₮",хувь хүн,2024-11-19,Хороо 3,"Борлуулалт, худалдаа"
Автын засварчин,"3,000,000 ₮",хувь хүн,2024-11-19,Хороо 2,"Авто үйлчилгээ, засвар"
"Хүргэлт, угсралтын ажилтан","3,500,000 ₮",Энтимо лайн ХХК,2024-11-19,32 тойрог,Үйлдвэрлэл
Худалдааны төлөөлөгч,"2,600,000 ₮",Монголиан Стар Дистрибюшн ХХК,2024-11-19,Хороо 4,"Борлуулалт, худалдаа"
Сантехникч,"1,800,000 ₮",Тэнгэрийн хишиг ХХК,2024-11-19,10-р хороолол,"Барилга, дэд бүтэц"
Агуулахын туслах бараа бэлдэx,"2,000,000 ₮",Монголиан Стар Дистрибюшн ХХК,2024-11-19,Хороо 9,"Тээвэр, гааль, агуулах"
Бараа өрөлтийн ажилтан,"2,000,000 ₮",Монголиан Стар Дистрибюшн ХХК,2024-11-19,Хороо 9,"Борлуулалт, худалдаа"
Талбайн инженер,"3,000,000 ₮",хувь хүн,2024-11-19,Бага тэнгэрийн ам,"Барилга, дэд бүтэц"
Зээлийн мэргэжилтэн,"2,500,000 ₮",хувь хүн,2024-11-19,11-р хороолол,"Банк, санхүү, нябо, нярав"
Гагнуурчин,"1,900,000 ₮",Шилэн хийц ХХК,2024-11-19,Хороо 31,"Барилга, дэд бүтэц"
Борлуулагч,"1,500,000 ₮",хувь хүн,2024-11-19,Сонсголон,"Борлуулалт, худалдаа"
Кассын ажилтан,"2,200,000 ₮",хувь хүн,2024-11-19,Зайсан,"Pесторан, кафе, паб"
Ээлжийн менежер,"2,500,000 ₮",хувь хүн,2024-11-19,Зайсан,"Pесторан, кафе, паб"
Үйлдвэрийн ажилтан,"1,600,000 ₮",Шилэн хийц ХХК,2024-11-19,1-р хороолол,Үйлдвэрлэл
Үл хөдлөх эд хөрөнгө зуучлагч,"3,000,000 ₮",BM Zest Properties LLC,2024-11-19,120 мянгат,"Борлуулалт, худалдаа"
Угаагч,"90,000 ₮",хувь хүн,2024-11-19,Улаанбаатар их сургууль,"Pесторан, кафе, паб"
Зөөгч,"1,500,000 ₮",хувь хүн,2024-11-19,Хороо 2,"Pесторан, кафе, паб"
Бэлтгэл тогооч,"1,500,000 ₮",хувь хүн,2024-11-19,Монголын Үндэсний Их Сургууль,"Pесторан, кафе, паб"
Цэвэрлэгээний эрэгтэй ажилтан,"1,700,000 ₮",Эрчим сервис ХХК,2024-11-19,Хороо 20,Үйлчилгээ
Гагнуунчин,"3,000,000 ₮",хувь хүн,2024-11-19,Баянхошуу,Үйлдвэрлэл
Тавилгын үйлдвэрт модны мужаан,"3,000,000 ₮",хувь хүн,2024-11-19,Хороо 9,Үйлдвэрлэл
Угаагч,"1,800,000 ₮",хувь хүн,2024-11-19,Хороо 2,"Pесторан, кафе, паб"
Үйлчлэгч,"1,800,000 ₮",хувь хүн,2024-11-19,Хороо 10,"Pесторан, кафе, паб"
Грилл тогооч,"2,500,000 ₮",хувь хүн,2024-11-19,Өргөө - 1 кино театр,"Pесторан, кафе, паб"
Ээлжээр ажиллах ашиглалтын инженер,"1,800,000 ₮",хувь хүн,2024-11-19,Чингэлтэй,"Барилга, дэд бүтэц"
Гэгээнтэнд худалдааны зөвлөх,"2,800,000 ₮",хувь хүн,2024-11-19,120 мянгат,"Борлуулалт, худалдаа"
